address,city,county,doing_business_as,license_number,license_type,places_business_status,places_details_address,places_details_name,places_details_rating,places_details_status,places_details_user_ratings_total,places_formatted_address,places_intl_phone,places_lat,places_lng,places_name,places_phone,places_place_id,places_query,places_rating,places_status,places_types,places_url,places_user_ratings_total,places_website,provider_name,state,status,zip
,Minneapolis,Hennepin,,,Home and Community Based Services,OPERATIONAL,"323 N Washington Ave Ste 200, Minneapolis, MN 55401, USA",Industrious,5,OPERATIONAL,73,"323 N Washington Ave Ste 200, Minneapolis, MN 55401, United States",+1 651-900-7900,44.9841646,-93.27501459999999,Industrious,(651) 900-7900,ChIJR8NfR48ys1IRk3rnUZiqDSU,"Minneapolis, MN, 55401-2503",5,OK,"establishment,point_of_interest,real_estate_agency",https://maps.google.com/?cid=2669977725286447763,73,https://www.industriousoffice.com/locations/323-washington-ave-n-suite-200?utm_source=google&utm_medium=organic-search&utm_campaign=local-google&utm_term=MSP0323WAS&utm_content=local-listing&ind_channel=organic&ind_ls=organic-search,,MN,Active,55401-2503
,Minneapolis,Hennepin,,,Home and Community Based Services,OPERATIONAL,"323 N Washington Ave Ste 200, Minneapolis, MN 55401, USA",Industrious,5,OPERATIONAL,73,"323 N Washington Ave Ste 200, Minneapolis, MN 55401, United States",+1 651-900-7900,44.9841646,-93.27501459999999,Industrious,(651) 900-7900,ChIJR8NfR48ys1IRk3rnUZiqDSU,"Minneapolis, MN, 55401-2503",5,OK,"establishment,point_of_interest,real_estate_agency",https://maps.google.com/?cid=2669977725286447763,73,https://www.industriousoffice.com/locations/323-washington-ave-n-suite-200?utm_source=google&utm_medium=organic-search&utm_campaign=local-google&utm_term=MSP0323WAS&utm_content=local-listing&ind_channel=organic&ind_ls=organic-search,,MN,Active,55401-2503
,Minneapolis,Hennepin,,,Home and Community Based Services,OPERATIONAL,"323 N Washington Ave Ste 200, Minneapolis, MN 55401, USA",Industrious,5,OPERATIONAL,73,"323 N Washington Ave Ste 200, Minneapolis, MN 55401, United States",+1 651-900-7900,44.9841646,-93.27501459999999,Industrious,(651) 900-7900,ChIJR8NfR48ys1IRk3rnUZiqDSU,"Minneapolis, MN, 55401-2503",5,OK,"establishment,point_of_interest,real_estate_agency",https://maps.google.com/?cid=2669977725286447763,73,https://www.industriousoffice.com/locations/323-washington-ave-n-suite-200?utm_source=google&utm_medium=organic-search&utm_campaign=local-google&utm_term=MSP0323WAS&utm_content=local-listing&ind_channel=organic&ind_ls=organic-search,,MN,Active,55401-2503
,Minneapolis,Hennepin,,,Home and Community Based Services,,,,,,,,,,,,,,"Minneapolis, MN, 55401-5508",,NO_MATCH,,,,,,MN,Active,55401-5508
,Minneapolis,Hennepin,,,Child Care Center,,"Minneapolis, MN 55401, USA",55401,,,,"Minneapolis, MN 55401, USA",,44.9836543,-93.2693572,"Minneapolis, MN 55401",,ChIJw-ttw4Eys1IRX86hZ9WGyY8,"Minneapolis, MN, 55401",,OK,postal_code,https://maps.google.com/?cid=10360960668867350111,,,,MN,Active,55401
